Incident ID,Incident Date,Incident Time,Day of Week,Month,Year,Time of Day,Daytime/Weekend/Weekday,Crime Category,Repeat Offender,Crime Location Type,Suspect Age,Suspect Sex,Suspect Descent,Arrest Made,Charge Filed,Outcome,Victim Injury,Victim Status,Time to Resolution,District,Latitude,Longitude,Crime Severity,Repeat Victim,Victim Occupation,Suspect Occupation
262,2020-10-24,17:00:11,Saturday,October,2020,Afternoon,Daytime,Drug Offense,No,Public,38,Female,Indian,No,No,Open,Minor cuts and bruises,Deceased,186,North,-0.4464595,12.494865,Moderate,Yes,Chief Technology Officer,Public affairs consultant
263,2020-04-12,10:44:28,Sunday,April,2020,Morning,Daytime,Property Crime,Yes,Commercial,33,Female,Other,No,No,Solved,None,Deceased,165,West,48.672992,155.830013,Moderate,No,Historic buildings inspector/conservation officer,Animator
264,2020-01-03,14:11:13,Friday,January,2020,Afternoon,Daytime,White Collar Crime,No,Industrial,59,Female,Other,No,No,Solved,None,Alive,191,South,0.648252,-95.786130,Severe,No,Sports therapist,Data processing manager
265,2021-05-13,01:28:20,Thursday,May,2021,Morning,Daytime,Drug Offense,No,Industrial,22,Male,Indian,No,No,Closed,Severe lacerations,Alive,206,East,-47.3254125,163.661827,Severe,Yes,Financial manager,Land/geomatics surveyor
266,2020-03-15,23:05:16,Sunday,March,2020,Evening,Night,White Collar Crime,Yes,Industrial,48,Male,Other,Yes,Yes,Closed,Minor cuts and bruises,Alive,344,North,77.9970445,33.730618,Severe,Yes,Armed forces operational officer,Equities trader
267,2022-01-16,16:58:41,Sunday,January,2022,Afternoon,Daytime,White Collar Crime,Yes,Commercial,52,Male,Other,No,No,Open,Gunshot wound,Deceased,74,South,-14.4149095,-3.600816,Moderate,Yes,"Doctor, hospital",Field seismologist
268,2022-12-29,06:12:11,Thursday,December,2022,Morning,Daytime,White Collar Crime,Yes,Industrial,44,Female,Indian,Yes,Yes,Open,Head injury,Alive,27,East,-46.0782295,45.887241,Moderate,No,"Psychologist, educational",Medical physicist
269,2021-03-04,18:13:28,Thursday,March,2021,Evening,Night,Property Crime,No,Public,40,Male,Indian,No,No,Open,Severe lacerations,Deceased,208,West,61.6441515,-172.769594,Minor,No,"Designer, textile",Television production assistant
270,2020-01-18,23:43:01,Saturday,January,2020,Evening,Night,Cyber Crime,Yes,Public,52,Male,Other,No,No,Under Investigation,Gunshot wound,Alive,91,East,14.6650365,-87.678450,Moderate,Yes,Database administrator,Advertising account executive
271,2020-03-19,05:57:46,Thursday,March,2020,Morning,Daytime,Violent Crime,No,Industrial,56,Male,Indian,Yes,Yes,Under Investigation,None,Alive,303,West,46.925694,-178.015296,Moderate,No,Arboriculturist,Art gallery manager
272,2020-12-13,00:33:52,Sunday,December,2020,Morning,Daytime,Drug Offense,Yes,Industrial,34,Male,Other,Yes,Yes,Under Investigation,None,Deceased,62,Central,74.141353,-100.707016,Minor,No,"Designer, ceramics/pottery",Museum education officer
273,2020-03-23,18:29:56,Monday,March,2020,Evening,Night,Cyber Crime,Yes,Public,58,Male,Other,Yes,Yes,Closed,Broken bones,Deceased,129,Central,27.1087175,124.966205,Moderate,Yes,Learning mentor,Firefighter
274,2021-03-04,22:25:05,Thursday,March,2021,Evening,Night,Cyber Crime,No,Commercial,28,Female,Indian,Yes,Yes,Open,Stab wound,Alive,328,North,46.9698515,-63.680018,Moderate,No,"Social research officer, government",Office manager
275,2020-08-14,03:18:04,Friday,August,2020,Morning,Daytime,Drug Offense,No,Public,48,Female,Indian,No,No,Solved,None,Alive,7,West,19.456834,123.927406,Minor,No,Make,Chief Operating Officer
276,2023-09-02,17:12:44,Saturday,September,2023,Afternoon,Daytime,Drug Offense,Yes,Public,63,Female,Indian,Yes,Yes,Under Investigation,Broken bones,Deceased,246,West,-24.0600575,72.938126,Minor,No,Museum/gallery curator,Equality and diversity officer
277,2023-05-11,14:13:11,Thursday,May,2023,Afternoon,Daytime,Drug Offense,Yes,Industrial,48,Male,Indian,Yes,No,Solved,Broken bones,Alive,16,Central,83.211930,78.333176,Minor,Yes,Occupational psychologist,Television camera operator
278,2020-08-02,15:47:57,Sunday,August,2020,Afternoon,Daytime,Drug Offense,No,Residential,59,Male,Indian,Yes,No,Solved,None,Alive,167,Central,-15.9453055,102.708679,Minor,No,Meteorologist,Special effects artist
279,2020-03-08,07:53:15,Sunday,March,2020,Morning,Daytime,Violent Crime,Yes,Residential,61,Male,Indian,No,No,Closed,None,Alive,83,South,74.1763595,74.772471,Moderate,Yes,Fast food restaurant manager,Health and safety adviser
280,2020-05-05,15:44:56,Tuesday,May,2020,Afternoon,Daytime,White Collar Crime,No,Public,25,Male,Other,Yes,Yes,Under Investigation,Internal injuries,Deceased,221,East,-3.679148,29.796070,Minor,No,Clinical biochemist,Social researcher
281,2020-05-31,06:58:02,Sunday,May,2020,Morning,Daytime,White Collar Crime,Yes,Public,19,Male,Indian,No,No,Open,None,Alive,170,West,15.341962,-165.614161,Severe,No,"Pharmacist, community","Nurse, learning disability"
282,2023-09-07,06:49:05,Thursday,September,2023,Morning,Daytime,Drug Offense,Yes,Commercial,20,Female,Indian,Yes,Yes,Open,Gunshot wound,Deceased,115,Central,33.6645545,144.368965,Minor,Yes,"Psychologist, counselling","Designer, television/film set"
283,2021-06-10,01:38:49,Thursday,June,2021,Morning,Daytime,White Collar Crime,Yes,Residential,46,Male,Other,No,No,Under Investigation,Gunshot wound,Alive,335,East,37.334792,40.705575,Severe,No,"Designer, interior/spatial",Therapeutic radiographer
284,2022-05-31,09:50:10,Tuesday,May,2022,Morning,Daytime,White Collar Crime,Yes,Public,55,Male,Indian,No,No,Solved,Severe lacerations,Deceased,220,West,45.174135,-119.593624,Severe,Yes,"Merchandiser, retail",Location manager
285,2021-03-19,01:21:49,Friday,March,2021,Morning,Daytime,White Collar Crime,Yes,Commercial,54,Male,Indian,Yes,Yes,Under Investigation,None,Deceased,222,South,5.9982355,73.767245,Minor,No,"Scientist, physiological",Audiological scientist
286,2021-08-30,11:40:46,Monday,August,2021,Morning,Daytime,Drug Offense,Yes,Industrial,64,Male,Other,Yes,Yes,Closed,None,Deceased,94,South,-42.514358,133.361445,Severe,No,"Journalist, broadcasting",Housing manager/officer
287,2023-03-26,16:04:38,Sunday,March,2023,Afternoon,Daytime,White Collar Crime,No,Residential,51,Male,Indian,No,No,Solved,Broken bones,Alive,269,South,-78.8699905,-23.711286,Minor,No,Structural engineer,Plant breeder/geneticist
288,2020-04-18,17:36:10,Saturday,April,2020,Afternoon,Daytime,Violent Crime,No,Residential,50,Male,Indian,No,No,Under Investigation,Internal injuries,Alive,234,North,20.2053525,-35.544815,Severe,Yes,Mining engineer,"Engineer, manufacturing"
289,2022-12-13,15:09:56,Tuesday,December,2022,Afternoon,Daytime,Cyber Crime,No,Industrial,34,Male,Indian,No,No,Closed,None,Alive,67,East,-54.5246165,-120.783706,Moderate,No,Video editor,Marketing executive
290,2021-05-29,02:55:35,Saturday,May,2021,Morning,Daytime,Drug Offense,Yes,Public,26,Male,Other,No,No,Closed,None,Alive,126,South,25.582253,129.611411,Minor,Yes,Occupational therapist,"Psychologist, educational"
291,2020-08-24,09:05:42,Monday,August,2020,Morning,Daytime,Cyber Crime,Yes,Public,28,Male,Other,No,No,Open,No visible injuries,Deceased,113,North,-69.1090065,48.399867,Moderate,Yes,Sport and exercise psychologist,"Surveyor, building"
292,2021-03-05,07:25:12,Friday,March,2021,Morning,Daytime,White Collar Crime,No,Residential,44,Male,Other,No,No,Closed,Broken bones,Deceased,156,East,-48.937911,-68.618667,Minor,No,"Development worker, international aid",Estate agent
293,2020-04-02,11:45:40,Thursday,April,2020,Morning,Daytime,Drug Offense,Yes,Commercial,19,Male,Other,Yes,Yes,Under Investigation,None,Alive,198,South,-53.611933,84.699957,Moderate,No,Marketing executive,Youth worker
294,2022-06-13,09:22:00,Monday,June,2022,Morning,Daytime,White Collar Crime,Yes,Residential,42,Female,Other,No,No,Under Investigation,None,Deceased,291,South,-0.0279175,-116.392881,Moderate,Yes,Osteopath,Garment/textile technologist
295,2021-05-06,05:28:25,Thursday,May,2021,Morning,Daytime,Cyber Crime,Yes,Industrial,33,Male,Indian,Yes,No,Closed,None,Alive,4,West,78.5710865,89.273772,Severe,No,Learning disability nurse,Site engineer
296,2021-03-25,23:37:53,Thursday,March,2021,Evening,Night,White Collar Crime,Yes,Residential,64,Female,Other,No,No,Closed,Head injury,Alive,166,North,59.1102185,-16.124258,Severe,Yes,Farm manager,Multimedia specialist
297,2022-12-12,02:10:48,Monday,December,2022,Morning,Daytime,Drug Offense,No,Industrial,61,Male,Other,Yes,No,Closed,None,Alive,212,North,36.5064545,94.634385,Moderate,Yes,Information officer,Outdoor activities/education manager
298,2023-06-16,15:56:31,Friday,June,2023,Afternoon,Daytime,Violent Crime,No,Commercial,42,Male,Indian,No,No,Solved,None,Deceased,71,Central,-48.6570545,-100.733041,Minor,Yes,"Accountant, chartered public finance",Television production assistant
299,2024-05-25,20:59:34,Saturday,May,2024,Evening,Night,Violent Crime,No,Public,38,Female,Indian,No,No,Under Investigation,Stab wound,Alive,285,North,83.7732945,-69.984348,Severe,Yes,"Therapist, occupational",Toxicologist
300,2024-05-14,12:24:47,Tuesday,May,2024,Afternoon,Daytime,Cyber Crime,No,Public,24,Female,Other,Yes,Yes,Under Investigation,Internal injuries,Deceased,323,East,-18.4138255,149.802550,Severe,No,Dispensing optician,Mining engineer
301,2020-09-22,18:22:10,Tuesday,September,2020,Evening,Night,Property Crime,Yes,Industrial,46,Female,Other,Yes,Yes,Open,None,Alive,103,West,-80.330665,-174.370448,Minor,Yes,Commercial art gallery manager,Medical illustrator
302,2024-02-02,17:22:07,Friday,February,2024,Afternoon,Daytime,Property Crime,Yes,Public,55,Male,Other,Yes,No,Open,Gunshot wound,Deceased,198,East,-60.971617,63.003105,Minor,Yes,"Merchandiser, retail",Television/film/video producer
303,2022-02-27,23:58:20,Sunday,February,2022,Evening,Night,Cyber Crime,No,Industrial,63,Male,Indian,No,No,Open,Minor cuts and bruises,Alive,330,Central,40.6022945,-57.209216,Severe,Yes,"Designer, interior/spatial","Surveyor, planning and development"
304,2020-08-30,22:18:25,Sunday,August,2020,Evening,Night,Violent Crime,No,Residential,54,Male,Indian,No,No,Under Investigation,None,Deceased,183,Central,46.3630895,-89.804945,Moderate,No,Agricultural engineer,Dietitian
305,2024-05-25,07:09:59,Saturday,May,2024,Morning,Daytime,White Collar Crime,Yes,Commercial,31,Male,Indian,Yes,Yes,Open,No visible injuries,Alive,160,Central,73.277005,174.683078,Severe,No,"Engineer, manufacturing",Primary school teacher
306,2023-06-12,22:14:18,Monday,June,2023,Evening,Night,Cyber Crime,No,Industrial,35,Male,Other,Yes,Yes,Under Investigation,None,Deceased,36,Central,-84.3174665,135.378516,Severe,Yes,Contractor,Network engineer
307,2021-06-16,04:29:36,Wednesday,June,2021,Morning,Daytime,Cyber Crime,Yes,Industrial,63,Female,Other,Yes,No,Under Investigation,None,Deceased,244,West,61.650542,-151.195325,Minor,No,Mining engineer,Chartered legal executive (England and Wales)
308,2023-06-12,17:44:52,Monday,June,2023,Afternoon,Daytime,Drug Offense,Yes,Industrial,26,Female,Indian,Yes,No,Under Investigation,No visible injuries,Alive,255,Central,-27.428890,92.083558,Severe,Yes,"Programmer, applications",Archaeologist
309,2024-01-31,06:09:22,Wednesday,January,2024,Morning,Daytime,Violent Crime,Yes,Public,43,Female,Indian,Yes,Yes,Closed,None,Deceased,22,East,-62.6717105,-35.747168,Minor,No,"Runner, broadcasting/film/video",Recycling officer
310,2023-05-09,11:51:36,Tuesday,May,2023,Morning,Daytime,White Collar Crime,No,Industrial,63,Female,Other,Yes,Yes,Under Investigation,Internal injuries,Alive,230,South,-18.7822075,-82.816500,Moderate,No,Event organiser,"Sound technician, broadcasting/film/video"
311,2023-02-05,09:09:46,Sunday,February,2023,Morning,Daytime,Drug Offense,No,Public,40,Male,Indian,No,No,Solved,None,Deceased,154,North,-8.810726,146.878515,Minor,Yes,Cytogeneticist,"Programmer, multimedia"
312,2020-08-01,09:01:04,Saturday,August,2020,Morning,Daytime,White Collar Crime,Yes,Public,64,Female,Other,No,No,Open,None,Deceased,120,South,38.3421875,31.121278,Moderate,No,Systems developer,Outdoor activities/education manager
313,2020-10-13,16:46:22,Tuesday,October,2020,Afternoon,Daytime,Violent Crime,No,Public,55,Female,Other,Yes,No,Under Investigation,Stab wound,Alive,199,East,39.464255,-56.708226,Severe,No,Clinical psychologist,Housing manager/officer
314,2021-03-14,11:56:41,Sunday,March,2021,Morning,Daytime,Drug Offense,No,Residential,30,Female,Indian,Yes,Yes,Closed,Minor cuts and bruises,Deceased,347,West,-64.7271435,-105.571726,Moderate,Yes,Barista,"Copywriter, advertising"
315,2021-09-08,08:37:55,Wednesday,September,2021,Morning,Daytime,Drug Offense,Yes,Residential,28,Female,Other,Yes,Yes,Solved,Gunshot wound,Alive,79,East,-81.1245655,37.085464,Minor,Yes,"Surveyor, insurance",Town planner
316,2024-03-03,11:39:37,Sunday,March,2024,Morning,Daytime,Violent Crime,Yes,Public,26,Female,Other,Yes,Yes,Under Investigation,None,Deceased,200,South,-61.2654545,73.919564,Minor,Yes,"Surveyor, land/geomatics","Loss adjuster, chartered"
317,2022-12-01,04:25:48,Thursday,December,2022,Morning,Daytime,Cyber Crime,Yes,Industrial,63,Female,Indian,Yes,Yes,Open,Minor cuts and bruises,Deceased,134,South,-88.6189945,-50.244170,Severe,Yes,Ergonomist,Research scientist (medical)
318,2022-08-25,15:53:17,Thursday,August,2022,Afternoon,Daytime,White Collar Crime,No,Industrial,60,Female,Indian,No,No,Under Investigation,Minor cuts and bruises,Deceased,139,East,-29.705061,-175.183159,Severe,No,Research scientist (life sciences),Marine scientist
319,2024-04-30,09:52:14,Tuesday,April,2024,Morning,Daytime,Drug Offense,Yes,Industrial,45,Male,Indian,Yes,Yes,Under Investigation,Minor cuts and bruises,Alive,346,Central,-65.3935965,-138.391544,Minor,Yes,Industrial/product designer,"Teacher, secondary school"
320,2023-08-05,15:32:41,Saturday,August,2023,Afternoon,Daytime,Violent Crime,Yes,Commercial,21,Male,Other,No,No,Open,None,Deceased,126,East,8.649795,24.634986,Severe,Yes,Dance movement psychotherapist,Exhibition designer
321,2022-06-13,22:00:40,Monday,June,2022,Evening,Night,Property Crime,Yes,Public,32,Female,Other,Yes,No,Under Investigation,None,Alive,339,West,39.149543,174.337431,Minor,No,Mechanical engineer,Heritage manager
322,2023-04-09,16:39:50,Sunday,April,2023,Afternoon,Daytime,White Collar Crime,No,Commercial,23,Male,Indian,Yes,No,Open,None,Alive,187,Central,-55.272740,-115.865495,Minor,No,Oncologist,Marine scientist
323,2024-04-03,23:45:13,Wednesday,April,2024,Evening,Night,Drug Offense,No,Public,22,Female,Indian,No,No,Solved,None,Alive,18,East,-28.6229015,172.284931,Minor,No,Midwife,Mechanical engineer
324,2023-09-03,02:36:55,Sunday,September,2023,Morning,Daytime,Property Crime,No,Industrial,23,Male,Other,No,No,Under Investigation,None,Alive,351,West,6.4257675,35.219767,Minor,Yes,Heritage manager,Civil Service fast streamer
325,2024-01-30,18:37:06,Tuesday,January,2024,Evening,Night,Property Crime,No,Industrial,42,Male,Indian,No,No,Closed,Stab wound,Deceased,132,Central,-57.6192925,59.437479,Minor,Yes,"Designer, exhibition/display",Local government officer
326,2022-01-26,08:43:27,Wednesday,January,2022,Morning,Daytime,Cyber Crime,No,Commercial,23,Female,Indian,Yes,Yes,Solved,None,Deceased,165,West,-39.8184315,1.513703,Moderate,Yes,Restaurant manager,Estate manager/land agent
327,2020-12-07,23:09:18,Monday,December,2020,Evening,Night,Drug Offense,Yes,Commercial,42,Female,Indian,No,No,Closed,None,Alive,162,South,13.0541445,28.690806,Moderate,Yes,"Psychologist, forensic",Scientific laboratory technician
328,2023-12-05,08:59:09,Tuesday,December,2023,Morning,Daytime,Cyber Crime,No,Industrial,36,Female,Indian,No,No,Open,None,Alive,354,East,75.917680,-61.536544,Minor,No,Oceanographer,Retail buyer
329,2022-08-24,10:46:21,Wednesday,August,2022,Morning,Daytime,Violent Crime,No,Industrial,32,Male,Indian,Yes,No,Solved,Fractures,Alive,242,South,-27.546756,-11.141247,Moderate,No,"Scientist, marine",Accommodation manager
330,2020-10-12,19:25:47,Monday,October,2020,Evening,Night,Drug Offense,No,Commercial,25,Male,Other,No,No,Under Investigation,None,Alive,236,East,-4.8669705,31.671237,Moderate,No,Ergonomist,Plant breeder/geneticist
331,2020-05-31,05:07:33,Sunday,May,2020,Morning,Daytime,Cyber Crime,Yes,Industrial,64,Male,Indian,No,No,Solved,Gunshot wound,Alive,128,Central,-79.145550,38.239551,Moderate,No,Chief Financial Officer,General practice doctor
332,2021-09-14,15:49:27,Tuesday,September,2021,Afternoon,Daytime,Violent Crime,No,Public,51,Male,Indian,Yes,Yes,Closed,None,Alive,338,Central,-2.2721865,-84.130108,Severe,Yes,"Clinical scientist, histocompatibility and immunogenetics","Education officer, community"
333,2023-02-05,11:15:41,Sunday,February,2023,Morning,Daytime,Violent Crime,Yes,Commercial,47,Female,Other,No,No,Closed,Fractures,Deceased,13,North,-27.257590,-156.542032,Moderate,No,Actuary,Museum/gallery exhibitions officer
334,2024-07-18,00:22:09,Thursday,July,2024,Morning,Daytime,Drug Offense,No,Residential,64,Male,Indian,No,No,Solved,None,Deceased,289,Central,-55.1957005,-117.459130,Minor,Yes,Trade union research officer,Trading standards officer
335,2021-09-11,07:02:27,Saturday,September,2021,Morning,Daytime,Cyber Crime,No,Residential,52,Female,Other,Yes,Yes,Closed,None,Deceased,116,North,35.1151995,-73.857657,Moderate,No,Accommodation manager,"Scientist, product/process development"
336,2023-07-13,19:03:24,Thursday,July,2023,Evening,Night,White Collar Crime,No,Residential,41,Male,Indian,Yes,Yes,Solved,Minor cuts and bruises,Alive,125,North,54.131533,-84.901219,Severe,No,Facilities manager,Ergonomist
337,2023-07-14,21:34:42,Friday,July,2023,Evening,Night,Property Crime,No,Residential,43,Female,Indian,No,No,Open,Head injury,Deceased,175,South,37.4222595,-179.801441,Severe,Yes,Press photographer,"Engineer, materials"
338,2023-03-30,19:54:03,Thursday,March,2023,Evening,Night,Property Crime,No,Industrial,61,Male,Indian,Yes,No,Under Investigation,None,Alive,53,Central,-78.941691,150.584167,Minor,No,Geophysical data processor,Air cabin crew
339,2022-12-14,08:34:51,Wednesday,December,2022,Morning,Daytime,Drug Offense,No,Commercial,59,Female,Indian,Yes,Yes,Open,None,Deceased,111,North,8.6409335,1.100243,Minor,Yes,Professor Emeritus,Contractor
340,2024-05-25,22:31:55,Saturday,May,2024,Evening,Night,Drug Offense,No,Residential,18,Female,Indian,Yes,No,Under Investigation,Broken bones,Deceased,333,West,-22.429891,-124.564333,Minor,No,"Civil engineer, contracting",Government social research officer
341,2020-03-15,11:16:40,Sunday,March,2020,Morning,Daytime,Property Crime,Yes,Commercial,27,Male,Indian,Yes,Yes,Closed,None,Alive,147,South,-51.909753,153.298823,Severe,Yes,Copy,Museum education officer
342,2021-10-05,08:42:40,Tuesday,October,2021,Morning,Daytime,Drug Offense,Yes,Public,22,Male,Other,No,No,Closed,None,Deceased,264,West,87.174710,-8.449920,Minor,No,"Engineer, drilling","Pharmacist, community"
343,2024-04-27,18:24:58,Saturday,April,2024,Evening,Night,Property Crime,Yes,Industrial,21,Female,Other,No,No,Solved,Head injury,Deceased,49,North,-57.696034,120.431996,Minor,No,Claims inspector/assessor,Public relations officer
344,2021-01-21,04:27:55,Thursday,January,2021,Morning,Daytime,White Collar Crime,No,Residential,30,Female,Other,Yes,Yes,Under Investigation,None,Alive,294,East,30.176002,72.221525,Minor,No,"Editor, magazine features","Programme researcher, broadcasting/film/video"
345,2022-11-21,08:57:57,Monday,November,2022,Morning,Daytime,Violent Crime,Yes,Residential,63,Male,Other,No,No,Solved,None,Alive,49,Central,21.727592,-43.401554,Moderate,Yes,Multimedia programmer,Careers information officer
346,2024-04-19,05:12:39,Friday,April,2024,Morning,Daytime,Cyber Crime,No,Residential,63,Female,Indian,Yes,Yes,Open,No visible injuries,Alive,180,Central,-27.3037455,63.632928,Severe,Yes,Fish farm manager,Make
347,2024-02-02,04:46:26,Friday,February,2024,Morning,Daytime,Property Crime,No,Public,25,Male,Indian,Yes,Yes,Closed,Severe lacerations,Deceased,347,Central,20.134205,-167.160369,Moderate,No,Product manager,Accounting technician
348,2023-06-11,11:22:43,Sunday,June,2023,Morning,Daytime,Property Crime,Yes,Industrial,64,Male,Indian,Yes,Yes,Solved,Severe lacerations,Alive,286,North,29.7434525,-59.749771,Minor,No,"Pilot, airline",Financial adviser
349,2022-02-25,15:58:28,Friday,February,2022,Afternoon,Daytime,Cyber Crime,No,Public,21,Male,Indian,No,No,Closed,None,Alive,75,North,37.532515,-104.305283,Moderate,No,Estate agent,Prison officer
350,2022-05-30,06:43:26,Monday,May,2022,Morning,Daytime,White Collar Crime,No,Industrial,38,Female,Other,Yes,No,Under Investigation,Internal injuries,Deceased,322,South,85.3671555,81.018802,Severe,No,Tour manager,Database administrator
351,2024-06-10,07:48:24,Monday,June,2024,Morning,Daytime,Drug Offense,No,Industrial,38,Female,Other,Yes,No,Under Investigation,None,Alive,209,North,-66.4967265,-79.279376,Minor,No,Hydrologist,"Scientist, marine"
352,2021-01-16,09:02:26,Saturday,January,2021,Morning,Daytime,White Collar Crime,Yes,Public,60,Male,Other,No,No,Closed,None,Deceased,29,West,-48.363666,4.045199,Minor,No,Animator,"Lecturer, higher education"
353,2021-05-13,18:38:23,Thursday,May,2021,Evening,Night,Cyber Crime,Yes,Commercial,44,Male,Other,No,No,Open,None,Deceased,344,South,35.789061,29.540096,Minor,Yes,Emergency planning/management officer,Paramedic
354,2024-03-21,11:16:46,Thursday,March,2024,Morning,Daytime,Violent Crime,No,Industrial,20,Female,Other,No,No,Open,None,Deceased,103,Central,-45.034084,29.859495,Severe,Yes,Art gallery manager,"Librarian, academic"
355,2024-06-06,21:30:09,Thursday,June,2024,Evening,Night,Violent Crime,Yes,Commercial,27,Male,Indian,No,No,Solved,No visible injuries,Deceased,259,West,-1.939347,-81.643324,Minor,Yes,"Scientist, physiological",Special effects artist
356,2023-09-10,16:02:42,Sunday,September,2023,Afternoon,Daytime,Drug Offense,Yes,Commercial,62,Male,Indian,Yes,No,Open,None,Deceased,234,East,80.0650255,151.613740,Severe,Yes,"Research officer, political party","Teacher, English as a foreign language"
357,2021-10-24,22:56:09,Sunday,October,2021,Evening,Night,Cyber Crime,No,Commercial,43,Male,Indian,Yes,Yes,Under Investigation,Internal injuries,Alive,101,West,28.4818715,-162.333203,Severe,Yes,Financial manager,Ranger/warden
358,2022-09-14,23:01:02,Wednesday,September,2022,Evening,Night,Drug Offense,No,Residential,44,Female,Other,No,No,Closed,Broken bones,Alive,69,Central,-37.2815385,-179.723834,Minor,No,Armed forces logistics/support/administrative officer,Biomedical engineer
359,2021-02-20,01:30:17,Saturday,February,2021,Morning,Daytime,Drug Offense,No,Commercial,59,Male,Other,No,No,Open,Broken bones,Deceased,11,North,28.975768,147.476618,Moderate,No,Environmental manager,Clinical embryologist
360,2024-05-21,13:01:30,Tuesday,May,2024,Afternoon,Daytime,Drug Offense,No,Commercial,30,Male,Indian,Yes,Yes,Closed,None,Alive,105,North,83.3362645,160.411370,Minor,Yes,Historic buildings inspector/conservation officer,Lexicographer
361,2024-03-13,21:05:39,Wednesday,March,2024,Evening,Night,White Collar Crime,No,Public,51,Female,Other,No,No,Under Investigation,None,Alive,168,North,-38.421148,-92.376612,Severe,No,Microbiologist,"Surveyor, hydrographic"
362,2023-01-12,16:56:12,Thursday,January,2023,Afternoon,Daytime,White Collar Crime,Yes,Residential,50,Male,Indian,No,No,Solved,No visible injuries,Deceased,290,East,27.614006,29.818689,Severe,No,Print production planner,"Investment banker, corporate"
363,2023-12-26,07:51:55,Tuesday,December,2023,Morning,Daytime,Drug Offense,Yes,Residential,44,Female,Indian,No,No,Solved,Broken bones,Deceased,100,South,-50.651445,-62.009638,Moderate,Yes,Clothing/textile technologist,"Designer, furniture"
364,2023-05-09,18:36:24,Tuesday,May,2023,Evening,Night,Cyber Crime,Yes,Public,43,Female,Other,No,No,Closed,Stab wound,Deceased,307,Central,55.1150655,-67.246382,Minor,Yes,Mental health nurse,Armed forces training and education officer
365,2020-03-07,14:50:19,Saturday,March,2020,Afternoon,Daytime,Property Crime,No,Industrial,42,Male,Indian,Yes,No,Closed,None,Alive,211,Central,-34.3472395,-132.987144,Moderate,No,Passenger transport manager,Textile designer
366,2023-07-02,17:56:50,Sunday,July,2023,Afternoon,Daytime,Cyber Crime,Yes,Residential,38,Male,Other,Yes,Yes,Open,Gunshot wound,Deceased,223,Central,-33.5029575,160.042503,Severe,Yes,"Accountant, chartered management",Copy
367,2024-07-07,01:48:23,Sunday,July,2024,Morning,Daytime,Property Crime,Yes,Public,46,Female,Indian,No,No,Solved,None,Alive,73,North,41.455235,-14.304515,Moderate,Yes,Museum/gallery conservator,Speech and language therapist
368,2024-07-27,13:32:44,Saturday,July,2024,Afternoon,Daytime,Violent Crime,No,Industrial,36,Female,Other,Yes,Yes,Closed,Stab wound,Alive,40,South,-68.9859175,144.724448,Moderate,Yes,"Research officer, government","Administrator, local government"
369,2021-09-25,20:05:58,Saturday,September,2021,Evening,Night,Property Crime,No,Commercial,60,Male,Indian,Yes,Yes,Solved,Head injury,Deceased,124,East,75.628287,13.279707,Severe,Yes,Insurance underwriter,Charity officer
370,2020-03-13,21:41:33,Friday,March,2020,Evening,Night,White Collar Crime,Yes,Public,46,Female,Other,Yes,Yes,Under Investigation,Stab wound,Deceased,153,South,-25.8115205,149.566158,Severe,Yes,Air broker,Theatre stage manager
371,2024-05-11,13:23:17,Saturday,May,2024,Afternoon,Daytime,Violent Crime,No,Industrial,36,Male,Other,No,No,Open,Broken bones,Deceased,196,South,-48.8275065,70.048618,Moderate,Yes,Further education lecturer,Clinical molecular geneticist
372,2023-10-21,02:09:57,Saturday,October,2023,Morning,Daytime,Cyber Crime,No,Industrial,62,Male,Indian,Yes,Yes,Open,None,Deceased,212,South,-31.0707625,25.469825,Minor,No,Music tutor,Risk manager
373,2022-11-21,14:08:15,Monday,November,2022,Afternoon,Daytime,Cyber Crime,Yes,Industrial,63,Female,Indian,Yes,Yes,Under Investigation,None,Deceased,311,Central,68.4389915,-38.329322,Minor,No,Chartered public finance accountant,Armed forces operational officer
374,2021-04-25,16:39:34,Sunday,April,2021,Afternoon,Daytime,Violent Crime,No,Public,18,Female,Other,No,No,Open,None,Alive,139,West,78.294388,133.629377,Moderate,No,"Surveyor, rural practice",Radio producer
375,2020-07-15,11:05:26,Wednesday,July,2020,Morning,Daytime,Cyber Crime,Yes,Industrial,21,Female,Indian,No,No,Closed,No visible injuries,Deceased,220,North,38.6988645,53.377417,Minor,Yes,IT consultant,Musician
376,2020-03-16,01:23:50,Monday,March,2020,Morning,Daytime,White Collar Crime,No,Industrial,53,Female,Indian,Yes,No,Solved,None,Deceased,163,West,26.567867,145.963893,Minor,Yes,Contracting civil engineer,Curator
377,2020-04-06,10:08:12,Monday,April,2020,Morning,Daytime,Violent Crime,Yes,Industrial,56,Male,Indian,No,No,Solved,Broken bones,Deceased,21,North,25.3656685,-46.920360,Minor,No,Ambulance person,Glass blower/designer
378,2022-03-31,18:00:40,Thursday,March,2022,Evening,Night,White Collar Crime,Yes,Residential,61,Male,Other,Yes,Yes,Closed,Severe lacerations,Alive,119,Central,-59.0146205,4.587536,Severe,Yes,"Horticulturist, amenity",Midwife
